JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 1 Bubble 0,Race 1 Bubble 1,Race 1 Bubble 2,Race 1 Bubble 3,Race 1 Bubble 4,Race 1 Bubble 5,Race 1 Bubble 6,Race 1 Bubble 7
891,1,0,0,1,0,1,0,1,0,0,0
893,1,0,0,1,0,1,0,1,0,0,0
895,0,1,0,0,1,1,1,0,0,0,0
897,0,1,0,1,1,0,0,1,0,0,0
899,0,6,0,0,0,0,0,1,0,0,0
901,1,0,0,1,1,1,0,0,0,0,0
903,0,1,0,0,1,1,0,0,0,0,0
905,1,0,0,1,0,1,0,1,0,0,0
907,0,1,0,0,1,1,1,0,0,0,0
909,2,0,0,2,0,2,0,2,0,0,0
911,1,0,0,0,1,0,1,1,0,0,0
913,0,1,0,0,1,1,1,0,0,0,0
915,0,1,0,1,0,1,1,0,0,0,0
917,1,0,0,1,1,0,1,0,0,0,0
919,0,1,0,0,1,0,1,0,0,0,0
921,1,0,0,1,1,0,0,1,0,0,0
923,1,0,0,1,1,1,0,0,0,0,0
925,0,1,0,0,1,0,0,1,0,0,0
927,1,0,0,0,0,0,0,1,0,0,0
929,0,1,0,0,1,1,0,1,0,0,0
931,0,1,0,0,1,1,0,1,0,0,0
955,1,0,0,1,0,1,0,1,0,0,0
957,0,1,0,1,0,1,1,0,0,0,0
959,0,1,0,1,0,1,1,0,0,0,0
961,0,1,0,0,1,1,1,0,0,0,0
963,0,1,0,1,1,0,1,0,0,0,0
965,0,1,0,1,1,0,1,0,0,0,0
967,1,0,0,1,0,1,0,1,0,0,0
969,1,0,0,1,1,0,0,1,0,0,0
971,1,0,0,0,1,1,0,1,0,0,0
973,0,1,0,0,1,1,1,0,0,0,0
975,0,1,0,0,1,1,0,1,0,0,0
977,1,0,0,1,1,1,0,0,0,0,0
979,1,0,0,1,0,1,0,1,0,0,0
981,1,0,0,1,0,0,0,0,0,0,0
983,7,7,7,7,7,7,7,7,7,7,7
985,7,7,7,7,7,7,7,7,7,7,7
2273,7,7,7,7,7,7,7,7,7,7,7
2275,7,7,7,7,7,7,7,7,7,7,7
2277,7,7,7,7,7,7,7,7,7,7,7
2279,7,7,7,7,7,7,7,7,7,7,7
2281,7,7,7,7,7,7,7,7,7,7,7
2283,7,7,7,7,7,7,7,7,7,7,7
2285,7,7,7,7,7,7,7,7,7,7,7
3577,1,0,0,1,0,1,0,1,0,0,0
3579,0,5,0,1,1,1,0,0,0,0,0
3581,1,0,0,1,1,0,1,0,0,0,0
3583,1,0,0,1,1,0,1,0,0,0,0
3585,0,1,0,1,1,0,1,0,0,0,0
3587,0,1,0,0,0,1,0,0,0,0,0
3589,1,0,0,1,0,1,0,1,0,0,0
3591,1,0,0,1,0,1,0,1,0,0,0
3593,1,0,0,1,0,1,0,1,0,0,0
3595,0,1,0,0,1,1,1,0,0,0,0
3597,0,1,0,1,0,1,0,1,0,0,0
3599,0,1,0,0,1,1,1,0,0,0,0
3601,4,0,0,4,4,0,0,4,0,0,0
3603,0,1,0,0,1,1,1,0,0,0,0
3605,1,0,0,1,0,0,0,0,0,0,0
3607,2,0,0,2,2,0,0,2,0,0,0
3609,1,0,0,1,1,1,0,0,0,0,0
3611,0,1,0,0,1,0,1,0,0,0,0
3613,1,0,0,1,1,0,0,1,0,0,0
3615,0,1,0,1,1,0,0,1,0,0,0
